Словесное описание,Классы МКТУ,Номер заявки,Номер регистрации,Владелец,Статус,Действует до
ЦЕРОЛИКС,"3, 5",2023769869,1008824,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142821, Московская область, г/о Ступино, дер. Шматово, ул. Индустриальная, владение 2 (RU)",Действует,8/1/2033
ФЕМИНАКТИВ,"3, 5",2023728160,940419,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142821, Московская область, г/о Ступино, дер. Шматово, ул. Индустриальная, владение 2 (RU)",Действует,4/5/2033
ТРИАКАП,"3, 5",2021711597,852519,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142821, Московская область, г. Ступино, дер. Шматово, ул. Индустриальная, владение 2 (RU)",Действует,3/4/2031
СТОПМОЛЛЮСК МОЛЛЮСК,"3, 5, 10",2016735069,629754,"Общество с ограниченной ответственностью «ИНТЕЛБИО», 142802, Московская обл., г. Ступино, ул. Достоевского, д. 1, оф. 4 (RU)",Действует,9/22/2026
СТОП МОЛЛЮСК СТОПМОЛЛЮСК СТОПМОЛЛЮСК,"3, 5, 10",2016735071,633081,"Общество с ограниченной ответственностью «ИНТЕЛБИО», 142802, Московская обл., г. Ступино, ул. Достоевского, д. 1, оф. 4 (RU)",Действует,9/22/2026
СЕБОТРИОЛ,3,2022740534,902587,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142821, Московская обл., г.Ступино, дер.Шматово, ул.Индустриальная, владение 2 (RU)",Действует,6/21/2032
СЕБОЛЕПТ,3,2022744845,884038,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142821, Московская область, г. Ступино, дер. Шматово, ул. Индустриальная, владение 2 (RU)",Действует,7/6/2032
ПОЛИАКТИН,3,2021711598,877795,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142821, Московская область, г. Ступино, дер. Шматово, ул. Индустриальная, владение 2 (RU)",Действует,3/4/2031
ПЕДИТОКС,"3, 5",2019704111,732142,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142802, Московская область, г. Ступино, ул. Достоевского, 1, оф. 4 (RU)",Действует,2/5/2029
ОТОЛЕПТИН,"3, 5",2023726150,954900,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142821, Московская область, г/о Ступино, дер. Шматово, ул. Индустриальная, владение 2 (RU)",Действует,3/30/2033
ОТАКНЭУМ,"3, 5",2023769353,989125,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142821, Московская область, г/о Ступино, дер. Шматово, ул. Индустриальная, владение 2 (RU)",Действует,7/31/2033
НЕОТАНИН ТАНИН,"3, 5, 10",2016735067,633079,"Общество с ограниченной ответственностью «ИНТЕЛБИО», 142802, Московская обл., г. Ступино, ул. Достоевского, д. 1, оф. 4 (RU)",Действует,9/22/2026
МИКОЛЕПТ,"3, 5",2019708877,732148,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142802, Московская область, г. Ступино, ул. Достоевского, 1, оф. 4 (RU)",Действует,2/28/2029
ЛЮБРИМАКС,"3, 5, 10",2016735072,633082,"Общество с ограниченной ответственностью «ИНТЕЛБИО», 142802, Московская обл., г. Ступино, ул. Достоевского, д. 1, оф. 4 (RU)",Действует,9/22/2026
ЛАКТОВЕСТИН,"3, 5",2023737193,973200,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142821, Московская область, г/о Ступино, дер. Шматово, ул. Индустриальная, владение 2 (RU)",Действует,4/28/2033
КЕЛОКУРАН,"3, 5",2023760363,982934,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142821, Московская область, г/о Ступино, дер. Шматово, ул. Индустриальная, владение 2 (RU)",Действует,7/6/2033
ДЕПСОРИОЛ,"3, 5",2022739467,905577,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142821, Московская область, г. Ступино, дер. Шматово, ул. Индустриальная, владение 2 (RU)",Действует,6/15/2032
ДЕАКНЕВИТ,"3, 5",2023769875,1001205,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142821, Московская область, г/о Ступино, дер. Шматово, ул. Индустриальная, владение 2 (RU)",Действует,8/1/2033
ВИСКОЛОР,5,2022762952,918638,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142821, Московская область, г/о Ступино, дер. Шматово, ул. Индустриальная, владение 2 (RU)",Действует,9/6/2032
ВИСКОЛАН,"3, 5",2019708874,732144,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142802, Московская область, г. Ступино, ул. Достоевского, 1, оф. 4 (RU)",Действует,2/28/2029
ВИСКОЛАЙН,"3, 5",2019708875,732145,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142802, Московская область, г. Ступино, ул. Достоевского, 1, оф. 4 (RU)",Действует,2/28/2029
ВИРОКСИНОЛ,"3, 5, 10",2020725845,794516,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142802, Московская область, г. Ступино, ул. Достоевского, 1, оф. 4 (RU)",Действует,5/7/2030
БЬЮТИКАИН,5,2023716617,954899,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142821, Московская область, г/о Ступино, дер. Шматово, ул. Индустриальная, владение 2 (RU)",Действует,3/3/2033
БЬЮТИКАИН,5,2019719776,735228,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142821, Московская обл., г.о. Ступино, деревня Шматово, ул. Индустриальная, владение 2 (RU)",Действует,4/25/2029
АНТИСПАЙК,5,2022718436,899459,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142821, Московская обл., г. Ступино, деревня Шматово, ул. Индустриальная, вл. 2 (RU)",Действует,3/25/2032
VISCOLINE,"3, 5",2019708876,732146,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142802, Московская область, г. Ступино, ул. Достоевского, 1, оф. 4 (RU)",Действует,2/28/2029
VISCOLAN,"3, 5",2019708881,732150,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142802, Московская область, г. Ступино, ул. Достоевского, 1, оф. 4 (RU)",Действует,2/28/2029
VIROXYNOL,"3, 5, 10",2020725843,794515,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142802, Московская область, г. Ступино, ул. Достоевского, 1, оф. 4 (RU)",Действует,5/7/2030
STOP MOLLUSK STOPMOLLUSK MOLLUSK STOPMOLLUSK,"3, 5, 10",2016735070,664482,"Общество с ограниченной ответственностью «ИНТЕЛБИО», 142802, Московская обл., г. Ступино, ул. Достоевского, д. 1, оф. 4 (RU)",Действует,9/22/2026
SEBOLEPT,3,2022759671,922578,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142821, Московская область, г/о Ступино, дер. Шматово, ул. Индустриальная, владение 2 (RU)",Действует,8/25/2032
PEDITOX,"3, 5",2019704113,732143,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142802, Московская область, г. Ступино, ул. Достоевского, 1, оф. 4 (RU)",Действует,2/5/2029
OTOLEPTIN,"3, 5",2023727178,964973,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142821, Московская область, г/о Ступино, дер. Шматово, ул. Индустриальная, владение 2 (RU)",Действует,4/3/2033
OTACNEUM,"3, 5",2023769361,989123,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142821, Московская область, г/о Ступино, дер. Шматово, ул. Индустриальная, владение 2 (RU)",Действует,7/31/2033
NEOTANIN TANIN,"3, 5, 10",2016735074,633083,"Общество с ограниченной ответственностью «ИНТЕЛБИО», 142802, Московская обл., г. Ступино, ул. Достоевского, д. 1, оф. 4 (RU)",Действует,9/22/2026
MYCOLEPT,"3, 5",2019708878,732149,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142802, Московская область, г. Ступино, ул. Достоевского, 1, оф. 4 (RU)",Действует,2/28/2029
LUBRIMAX,"3, 5, 10",2016735068,633080,"Общество с ограниченной ответственностью «ИНТЕЛБИО», 142802, Московская обл., г. Ступино, ул. Достоевского, д. 1, оф. 4 (RU)",Действует,9/22/2026
LACTOVESTIN,"3, 5",2023728162,940420,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142821, Московская область, г/о Ступино, дер. Шматово, ул. Индустриальная, владение 2 (RU)",Действует,4/5/2033
KELOCURAN,"3, 5",2023760364,982935,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142821, Московская область, г/о Ступино, дер. Шматово, ул. Индустриальная, владение 2 (RU)",Действует,7/6/2033
FEMINAKTIV,"3, 5",2023737059,982198,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142821, Московская область, г/о Ступино, дер. Шматово, ул. Индустриальная, владение 2 (RU)",Действует,4/28/2033
DEPSORIOL,"3, 5",2022739466,905576,"Общество с ограниченной ответственностью ""ИНТЕЛБИО"", 142821, Московская область, г. Ступино, дер. Шматово, ул. Индустриальная, владение 2 (RU)",Действует,6/15/2032
